Date,AAPL,APX,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM
19-05-2014,0.0119,0.0071,0.0041,-0.0060,-0.0008,-0.0019,0.0082,0.0079,-0.0111,-0.0003
20-05-2014,0.0002,-0.0117,-0.0135,-0.0363,-0.0094,-0.0037,0.0005,-0.0084,0.0191,-0.0113
21-05-2014,0.0026,0.0088,0.0106,0.0130,0.0149,0.0136,0.0136,0.0192,0.0015,0.0081
22-05-2014,0.0016,0.0033,0.0067,0.0019,-0.0041,-0.0043,0.0019,0.0031,0.0090,-0.0038
23-05-2014,0.0113,0.0071,0.0043,0.0092,0.0057,-0.0021,0.0118,0.0019,0.0051,0.0014
27-05-2014,0.0187,0.0294,0.0133,-0.0034,0.0077,-0.0043,0.0050,0.0101,0.0064,-0.0062
28-05-2014,-0.0026,-0.0036,0.0012,-0.0074,0.0045,-0.0026,-0.0017,-0.0036,-0.0001,-0.0092
29-05-2014,0.0182,0.0024,0.0060,0.0067,-0.0056,-0.0016,0.0051,-0.0028,0.0028,0.0037
30-05-2014,-0.0037,0.0024,0.0008,-0.0132,-0.0024,0.0038,-0.0002,-0.0058,0.0041,0.0033
02-06-2014,-0.0069,0.0043,0.0048,0.0150,0.0065,-0.0047,0.0031,0.0014,0.0076,0.0072
03-06-2014,0.0141,-0.0017,-0.0001,0.0070,-0.0042,0.0028,-0.0046,0.0111,-0.0021,-0.0071
04-06-2014,0.0114,0.0009,-0.0040,-0.0017,-0.0071,-0.0016,0.0043,0.0036,-0.0016,0.0008
05-06-2014,0.0039,0.0108,0.0110,0.0254,0.0082,0.0096,0.0064,0.0012,-0.0020,0.0080
06-06-2014,-0.0027,0.0227,0.0105,0.0114,0.0053,0.0054,-0.0020,0.0222,0.0032,0.0021
09-06-2014,0.0160,0.0070,-0.0021,0.0053,-0.0012,0.0014,0.0103,-0.0011,-0.0004,-0.0008
10-06-2014,0.0059,-0.0030,-0.0051,0.0051,0.0081,0.0078,-0.0085,0.0022,0.0016,-0.0104
11-06-2014,-0.0041,-0.0021,-0.0230,-0.0057,0.0016,-0.0013,-0.0052,-0.0056,-0.0115,-0.0111
